objID,ra,dec,r,u,g,i,z,u_r,g_r,g_i,r_i,r_z,photoz,radmpc,vel
1237651754560389388,210.138336551215,2.89370949858496,18.92981,26.14173,20.46751,18.3879,17.95612,7.211926,1.537699,2.079611,0.5419121,0.9736919,0.295894,1.71908290158158,76011.7438357537
1237651754560389413,210.197151391844,2.83568564240023,18.89722,21.41374,19.89863,18.49576,18.28428,2.516516,1.001408,1.402866,0.4014587,0.6129456,0.213053,1.06236625611414,57192.6158282794
1237651754560389418,210.20373045178,2.86730441742516,18.15114,21.9629,19.66947,17.61189,17.20325,3.811758,1.518326,2.057575,0.5392494,0.9478874,0.26074,0.794375802577946,68244.7015527795
1237651754560389422,210.205449400225,2.85602100654816,18.18377,21.57644,19.79866,17.58456,17.14342,3.392673,1.614895,2.214096,0.5992012,1.040342,0.29885,0.81860278627196,76650.532067493
1237651754560389444,210.244038938633,2.8244550631651,18.53883,21.9187,19.88342,17.95496,17.76157,3.379873,1.344585,1.928452,0.5838661,0.7772636,0.240858,0.794137623779928,63710.1672506584
1237651754560389447,210.250447915458,2.88695711481145,18.92311,22.1283,20.37462,18.41068,18.03439,3.205183,1.451508,1.963936,0.5124283,0.8887253,0.259463,0.167327558868745,67956.5727024058
1237651754560389448,210.249231573288,2.89074739740016,19.29177,21.41552,20.21213,18.94955,18.58757,2.123758,0.9203625,1.262577,0.3422146,0.7041912,0.273927,0.219446934213322,71195.4023773307
1237651754560389456,210.25220772331,2.86380967256985,18.25491,21.72242,19.84213,17.69434,17.37507,3.467514,1.587225,2.147793,0.5605679,0.879837,0.289896,0.227190524866393,74708.8269751492
1237651754560389473,210.243133691519,2.8889712247926,18.68907,23.64829,20.2298,18.16426,17.70805,4.959219,1.540724,2.065538,0.5248146,0.9810219,0.272351,0.265587950328218,70845.1324268144
1237651754560389520,210.155779744368,2.85008979206505,19.56987,21.42334,20.35808,19.25386,18.82208,1.853468,0.7882137,1.104225,0.3160114,0.7477837,0.280413,1.51279197430204,72630.2821137911
1237651754560389555,210.245102903044,2.88538268142153,18.61045,20.74894,19.66389,18.15849,17.746,2.138485,1.053436,1.505396,0.4519596,0.8644485,0.277793,0.215531342633348,72051.9475524131
1237651754560389622,210.128243932204,2.87760778443666,18.43138,20.8504,19.5455,17.9125,17.62056,2.419018,1.114117,1.633001,0.5188847,0.8108196,0.225618,1.8485460876534,60163.5654011953
1237651754560389633,210.12989232549,2.84995280658615,20.08417,23.31933,21.32507,19.72189,19.44481,3.235165,1.240902,1.603178,0.3622761,0.6393604,0.282787,1.8695051553205,73152.7653855086
1237651754560389636,210.131641292554,2.8778942377439,19.34603,22.09962,20.63477,18.73371,18.40438,2.753588,1.288736,1.901052,0.6123161,0.9416504,0.30202,1.80036263298066,77333.1235759721
1237651754560389657,210.140255125786,2.87101777898972,21.08806,23.18185,22.29099,20.96065,19.985,2.093788,1.202927,1.330338,0.1274109,1.10306,0.300956,1.68156890354171,77104.2823570667
1237651754560389667,210.142310103592,2.84679294912272,21.21144,22.83044,21.94769,21.05585,21.5907,1.618998,0.7362461,0.8918362,0.1555901,-0.3792648,0.293682,1.70931953063887,75532.289525818
1237651754560389693,210.152663834112,2.88815521748893,19.83449,22.33672,20.79259,19.5438,19.09496,2.50223,0.9581032,1.248795,0.2906914,0.7395248,0.281916,1.50859670464877,72961.2450321358
1237651754560389722,210.156685723189,2.89031782772937,19.10342,26.2457,20.40486,18.5941,18.23845,7.142277,1.301439,1.81076,0.5093212,0.8649731,0.252035,1.45505496482966,66272.1062290578
